a'marie	ಅಮಾರೀ
plato	ಪ್ಲೇಟೊ
playboy	ಪ್ಲೇಬಾಯ್
players	ಪ್ಲೇಯರ್ಸ್
plaza 66	ಪ್ಲಾಜಾ 66
plover cove reservoir	ಪ್ಲೋವರ್ ಕೋವ್ ರಿಜರ್ವಾಯರ್
pocket maar	ಪಾಕೆಟ್ ಮಾರ್
polaris	ಪೊಲಾರಿಸ್
police	ಪೊಲೀಸ್
police public	ಪೊಲೀಸ್ ಬಬ್ಲಿಕ್
police station	ಪೊಲೀಸ್ ಸ್ಟೇಶನ್
polish-turkish war	ಪೋಲಿಶ್ ಟರ್ಕಿಶ್ ವಾರ್
pollington	ಪಾಲಿಂಗ್ಟನ್
pomona	ಪೊಮೋನಾ
pondera	ಪೊಂಡೇರಾ
pontiac's rebellion	ಪಾಂಟಕ್ಸ್ ರಿಬೆಲಿಯನ್
pooja ke phool	ಪೂಜಾ ಕೆ ಪೂಲ್
poojit	ಪೂಜಿತ್
poonam	ಪೂನಂ
poonam ki raat	ಪೂನಂ ಕೀ ರಾತ್
pooran	ಪೂರಣ್
pooranasinh	ಪೂರಣ್‌ಸಿಂಹ
poornachandra	ಪೂರ್ಣಚಂದ್ರ
pope john paul ii	ಪೋಪ್ ಜಾನ್ ಪೌಲ್ II
pope john paul xxiii	ಪೋಪ್ ಜಾನ್ ಪೌಲ್ XXIII
pophalikar	ಪೋಫಾಲಿಕರ್
popular	ಪಾಪ್ಯುಲರ್
port elizabeth	ಪೋರ್ಟ್ ಎಲಿಜಬೆತ್
portland	ಪೋರ್ಟ್ ಲ್ಯಾಂಡ್
portsdown hill	ಪೋರ್ಟ್ಸ್‌ಡೌನ್ ಹಿಲ್
portugal	ಪೋರ್ಚುಗಲ್
posen	ಪೊಸೆನ್
potdar	ಪೋತದಾರ
pothohar	ಪೋಠೋಹಾರ್
poushali	ಪೌಶಾಲಿ
power soccer	ಪವರ್ ಸಾಕರ್
powerdsine	ಪವರ್‌ಡಿಸೈನ್
powerful	ಪವರ್‌ಫುಲ್
prabal	ಪ್ರಬಲ್
prabha	ಪ್ರಭಾ
prabhaa	ಪ್ರಭಾ
prabhakar	ಪ್ರಭಾಕರ್
prabhas	ಪ್ರಭಾಸ್
prabhat khabar	ಪ್ರಭಾತ್ ಖಬರ್
prabhuraam	ಪ್ರಭುರಾಮ್
prachetas	ಪ್ರಚೇತಸ್
pradosh	ಪ್ರದೋಷ್
pragati	ಪ್ರಗತಿ
prahlaad	ಪ್ರಹ್ಲಾದ್
prahlad	ಪ್ರಹ್ಲಾದ್
praj industries	ಪ್ರಜ್ ಇಂಡಸ್ಟ್ರೀಸ್
praja	ಪ್ರಜಾ
prajaapat	ಪ್ರಜಾಪತ್
prajavani	ಪ್ರಜಾವಾಣಿ
prajit	ಪ್ರಜಿತ್
prakaash	ಪ್ರಕಾಶ
prakat	ಪ್ರಕಟ
pralay	ಪ್ರಳಯ್
pramada	ಪ್ರಮದಾ
pramesh	ಪ್ರಮೇಶ್
pramila	ಪ್ರಮೀಳಾ
pramilaa	ಪ್ರಮಿಳಾ
pramit	ಪ್ರಮಿತ್
pramiti	ಪ್ರಮಿತಿ
praneet	ಪ್ರಣೀತ್
pranjivan	ಪ್ರಾಣಜೀವನ್
pransukh	ಪ್ರಾಣಸುಖ
prapitameshwar	ಪ್ರಪಿತಾಮೇಶ್ವರ
prasann	ಪ್ರಸನ್ನ್
prasanna	ಪ್ರಸನ್ನ
prasanna jayawardene	ಪ್ರಸನ್ನ ಜಯವರ್ದನೆ
prasannjit	ಪ್ರಸನ್ನಜಿತ್
prasat	ಪ್ರಸಾತ್
prasham	ಪ್ರಾಶಮ್
prashant vaidya	ಪ್ರಶಾಂತ್ ವೈದ್ಯ
prashanti	ಪ್ರಶಾಂತಿ
prasoon	ಪ್ರಸೂನ್
pratibandh	ಪ್ರತಿಬಂಧ್
pratibha	ಪ್ರತಿಭಾ
pratima	ಪ್ರತಿಮಾ
pratima aur payal	ಪ್ರತಿಮಾ ಔರ್ ಪಾಯಲ್
pratishtha	ಪ್ರತಿಷ್ಠಾ
pratul	ಪ್ರತುಲ್
pravesh	ಪ್ರವೇಶ್
pravin amre	ಪ್ರವೀಣ್ ಆಮ್ರೆ
prawara	ಪ್ರವರ
prayashchit	ಪ್ರಾಯಶ್ಚಿತ್
precious	ಪ್ರಿಶಿಯಸ್
precision	ಪ್ರಿಸಿಶನ್
preet	ಪ್ರೀತ್
preetam	ಪ್ರೀತಮ್
preeti	ಪ್ರೀತಿ
prem	ಪ್ರೇಮ್
prem bandhan	ಪ್ರೇಮ್ ಬಂಧನ್
prem jaal	ಪ್ರೇಮ್ ಜಾಲ್
prem ki devi	ಪ್ರೇಮ್ ಕಿ ದೇವಿ
prem ki jyoti	ಪ್ರೇಮ್ ಕಿ ಜ್ಯೋತಿ
prem lakshya	ಪ್ರೇಮ್ ಲಕ್ಷ್ಯಾ
prem pujari	ಪ್ರೇಮ್ ಪುಜಾರಿ
prem rog	ಪ್ರೇಮ್ ರೋಗ್
prem sagar	ಪ್ರೇಮ್ ಸಾಗರ್
prem samadhi	ಪ್ರೇಮ್ ಸಮಾಧಿ
prem sandesh	ಪ್ರೇಮ್ ಸಂದೇಶ್
prem sangeet	ಪ್ರೇಮ್ ಸಂಗೀತ್
prem yatra	ಪ್ರೇಮ್ ಯಾತ್ರಾ
prema	ಪ್ರೇಮಾ
premanaaraayan	ಪ್ರೇಮನಾರಾಯಣ
premanand	ಪ್ರೇಮಾನಂದ
premio bancarella	ಪ್ರೆಮಿಯೊ ಬಾನ್ಕರೆಲ್ಲಾ
premio valmor	ಪ್ರೆಮಿಯೊ ವಲ್ಮೋರ್
premnath	ಪ್ರೇಮನಾಥ್
prerana	ಪ್ರೇರಣಾ
prerna	ಪ್ರೇರಣಾ
presernova nagrada	ಪ್ರೆಸರ್ನೋವಾ ನಗ್ರಾಡಾ
presidency school	ಪ್ರೆಸಿಡೆನ್ಸಿ ಸ್ಕೂಲ್
president	ಪ್ರೆಸಿಡೆಂಟ್
president adams	ಪ್ರೆಸಿಡೆಂಟ್ ಆಡೆಮ್ಸ್
presidential medal of freedom	ಪ್ರೆಸಿಡೆನ್ಶಿಯಲ್ ಮೆಡಲ್ ಆಫ್ ಫ್ರೀಡಂ
presidio	ಪ್ರೆಸಿಡಿಯೊ
presidio of monterey	ಪ್ರೆಸಿಡಿ ಆಫ್ ಮಾಂಟೆರಿ
pretvam	ಪ್ರೀತ್ವಂ
preyasi	ಪ್ರೇಯಸಿ
pricewaterhouse coopers	ಪ್ರೈಸ್‌ವಾಟರ್‌ಹೌಸ್ ಕೂಪರ್ಸ್
prickett's fort	ಪ್ರಿಕೆಟ್ಸ್ ಫೋರ್ಟ್
priestley medal	ಪ್ರಿಸ್ಟ್ಲೇ ಮೆಡಲ್
primo	ಪ್ರಿಮೊ
prince	ಪ್ರಿನ್ಸ್
prince edward	ಪ್ರಿನ್ಸ್ ಎಡ್ವರ್ಡ್
prince of wales	ಪ್ರಿನ್ಸ್ ಆಫ್ ವೇಲ್ಸ್
princess alice	ಪ್ರಿನ್ಸೆಸ್ ಆಲೀಸ್
princess sarah ferguson	ಪ್ರಿನ್ಸೆಸ್ ಸಾರಾ ಫೆರ್ಗ್ಯೂಸನ್
principality	ಪ್ರಿನ್ಸಿಪಾಲಿಟಿ
pritha	ಪೃಥಾ
prithvi putra	ಪೃಥ್ವಿ ಪುತ್ರ
prithviraj sayogita	ಪೃಥ್ವಿರಾಜ್ ಸಯೋಗಿತಾ
pritika	ಪ್ರೀತಿಕಾ
pritikana	ಪ್ರೀತಿಕಾನಾ
pritilata	ಪ್ರೀತಿಲತಾ
prix decembre	ಪ್ರಿಕ್ಸ್ ಡಿಸೆಂಬ್ರೆ
prix goncourt	ಪ್ರಿಕ್ಸ್ ಗಾನ್‌ಕೋರ್ಟ್
prix renaudot	ಪ್ರಿಕ್ಸ್ ರೆನೌಡಾಟ್
priyamvada	ಪ್ರಿಯಂವದ
priyanka	ಪ್ರಿಯಾಂಕಾ
priyaranjan	ಪ್ರಿಯರಂಜನ್
proffitt	ಪ್ರಾಫಿಟ್
prokofiev	ಪ್ರೊಕೊಫೀವ್
prometheus award	ಪ್ರೊಮೆಥಿಯಸ್ ಅವಾರ್ಡ್
promethium	ಪ್ರೊಮೆಥಿಯಂ
prospect missionary baptist	ಪ್ರಾಸ್ಪೆಕ್ಟ್ ಮಿಶನರಿ ಬ್ಯಾಪ್ಟಿಸ್ಟ್
protection of natural amenities medal	ಪ್ರೊಟೆಕ್ಷನ್ ಆಫ್ ನ್ಯಾಚುರಲ್ ಅಮೇನಿಟಿಸ್ ಮೆಡಲ್
protherics	ಪ್ರೋಥೆರಿಕ್ಸ್
providence	ಪ್ರಾವಿಡೆನ್ಸ್
providence baptist	ಪ್ರಾವಿಡೆನ್ಸ್ ಬ್ಯಾಪ್ಟಿಸ್ಟ್
prudential	ಪ್ರುಡೆನ್ಶಿಯಲ್
prunella	ಪ್ರುನೆಲಾ
pryor	ಪ್ರೆಯೋರ್
pugachev's rebellion	ಪುಗಚೆವ್ಸ್ ರೆಬಿಲಿಯನ್
pujarin	ಪುಜಾರಿನ್
pujita	ಪೂಜಿತಾ
pukaskwa	ಪುಕಾಸ್ಕ್ವಾ
pukhraj	ಪುಖರಾಜ್
pul	ಪಲ್
pulakesh	ಪುಲಕೇಶ್
pulakit	ಪುಳಕಿತ್
pulastya	ಪುಲಸ್ತ್ಯ
puls	ಪಲ್ಸ್
pulu keeling	ಪುಲು ಕೀಲಿಂಗ್
pulwama	ಪುಲ್ವಾಮ
punam	ಪೂನಂ
punar milan	ಪುನಾರ್ ಮಿಲನ್
punarjanam	ಪುನರ್ಜನ್ಮ್
punarnava	ಪುನರ್ನವ
pundalik	ಪುಂಡಲೀಕ
pundarik	ಪುಂಡರೀಕ್
puneet	ಪುನೀತ್
punjab kesari	ಪಂಜಾಬ್ ಕೇಸರಿ
punjabi	ಪಂಜಾಬಿ
punyabrat	ಪುಣ್ಯಬ್ರತ್
purana mandir	ಪುರಾನಾ ಮಂದಿರ್
purana quila	ಪುರಾನಾ ಕಿಲಾ
purani pehchan	ಪುರಾನಿ ಪಹಚಾನ್
puranik	ಪುರಾಣಿಕ್
puranjay	ಪುರಂಜಯ
purba	ಪುರಬಾ
purkar	ಪುರಕಾರ್
purnanad	ಪೂರ್ಣನಾದ
purnima	ಪೂರ್ಣಿಮಾ
purulia	ಪುರುಲಿಯಾ
pururava	ಪುರೂರವ
purus	ಪುರುಸ್
purushottam	ಪುರುಷೋತ್ತಮ
purva	ಪೂರ್ವಾ
pushpa	ಪುಷ್ಪಾ
pushpen_dr	ಪುಷ್ಪೇಂದ್ರ
puskara	ಪುಷ್ಕರ
putul	ಪುಟುಲ್
puvis de chavannes prize	ಪುವಿಸ್ ಡಿ ಚವನೀಸ್ ಪ್ರೈಜ್
pyaas	ಪ್ಯಾಸ್
pyar	ಪ್ಯಾರ್
pyar bina jag soona	ಪ್ಯಾರ್ ಬಿನಾ ಜಗ್ ಸೂನಾ
pyar hi pyar	ಪ್ಯಾರ್ ಹೀ ಪ್ಯಾರ್
pyar jhukta nahin	ಪ್ಯಾರ್ ಜುಕ್ತಾ ನಹೀ
pyar ka pahla sawan	ಪ್ಯಾರ್ ಕಾ ಪಹಲಾ ಸಾವನ್
pyar ka sapna	ಪ್ಯಾರ್ ಕಾ ಸಪನಾ
pyar ka sindoor	ಪ್ಯಾರ್ ಕಾ ಸಿಂದೂರ್
pyar ka toofan	ಪ್ಯಾರ್ ಕಾ ತೂಫಾನ್
pyar karke dekho	ಪ್ಯಾರ್ ಕರಕೆ ದೇಖೋ
pyar ke naam qurban	ಪ್ಯಾರ್ ಕೆ ನಾಮ್ ಕುರ್ಬಾನ್
pyar ki dastan	ಪ್ಯಾರ್ ಕೀ ದಾಸ್ತಾನ್
pyar ki maar	ಪ್ಯಾರ್ ಕಿ ಮಾರ್
pyar ki manzil	ಪ್ಯಾರ್ ಕಿ ಮನ್ಜಿಲ್
pyar ki raat	ಪ್ಯಾರ್ ಕಿ ರಾತ್
pyar kiya hai pyar karenge	ಪ್ಯಾರ್ ಕಿಯಾ ಹೈ ಪ್ಯಾರ್ ಕರೇಂಗೆ
pyar paap nahin	ಪ್ಯಾರ್ ಪಾಪ್ ನಹೀ
pyarelal	ಪ್ಯಾರೆಲಾಲ್
pyaremohan	ಪ್ಯಾರೆಮೋಹನ್
pyas	ಪ್ಯಾಸ್
pyase nain	ಪ್ಯಾಸಿ ನೈನ್
pyase panchhi	ಪ್ಯಾಸಿ ಪಂಛೀ
qaadir	ಖಾದಿರ್
qabeel	ಕಬೀಲ್
qabool	ಕಬೂಲ್
qadam	ಕಾದಂ
qaidi	ಕೈದಿ
qailah	ಕಿಲಾ
qaisar	ಖೇಸರ್
qalandar baba auliya	ಖಲಂದರ್ ಬಾಬಾ ಔಲಿಯಾ
qameer	ಕಮೀರ್
qamra	ಕಮ್ರಾ
qanit	ಕಾನಿತ್
qanoun	ಕಾನೌನ್
qaraah	ಕರಾ
qareeb	ಕರೀಬ್
qasoomah	ಖಾಸೂಮಾ
qatar	ಖತಾರ್
qatl	ಕತ್ಲ್
qayamat ki raat	ಕಯಾಮತ್ ಕೀ ರಾತ್
qiana	ಕ್ವಿಯಾನಾ
qisaf	ಕಿಸಾಫ್
quade	ಕ್ವೇಡ್
quadrille	ಕ್ವಾಡ್ರಿಲ್ಲಿ
queen anne's war	ಕ್ವೀನ್ ಆನ್ಸ್ ವಾರ್
queen cleopatra	ಕ್ವೀನ್ ಕ್ಲಿಯೋಪಾತ್ರಾ
queen mary	ಕ್ವೀನ್ ಮೇರಿ
queen maud	ಕ್ವೀನ್ ಮೌದ್
queen victoria	ಕ್ವೀನ್ ವಿಕ್ಟೋರಿಯಾ
queen's scout	ಕ್ವೀನ್ಸ್ ಸ್ಕೌಟ್
queens county farm museum	ಕ್ವೀನ್ಸ್ ಕಂಟ್ರಿ ಫಾರ್ಮ್ ಮ್ಯೂಸಿಯಂ
queens museum of art	ಕ್ವೀನ್ಸ್ ಮ್ಯೂಸಿಯಂ ಆಫ್ ಆರ್ಟ್
quena	ಕ್ವೆನಾ
quentin	ಕೆಂಟಿನ್
quinta	ಕ್ವಿಂಟಾ
quintin	ಕಿಂಟಿನ್
quran	ಖುರಾನ್
qurbani	ಕುರ್ಬಾನಿ
qurratul ayn	ಕುರತುಲ್ ಏನ್
qutaylah	ಕುತೇಲಾ
qutb	ಕುತ್ಬ್
raadhaa	ರಾಧಾ
raag rang	ರಾಗ್ ರಂಗ್
raagini	ರಾಗಿನಿ
raahi	ರಾಹಿ
raahi badal gaye	ರಾಹಿ ಬದಲ್ ಗಯೆ
raajabaahaa	ರಾಜಬಾಹಾ
raajakunvar	ರಾಜಕುನ್ವರ್
raajakunvaree	ರಾಜಕುನ್ವರೀ
raajesh	ರಾಜೇಶ್
raajiv	ರಾಜಿವ್
raajwade	ರಾಜವಾಡೆ
raajyalakshmee	ರಾಜ್ಯಲಕ್ಷ್ಮಿ
raaka	ರಾಕಾ
raakesh	ರಾಕೇಶ್
raakh	ರಾಖ್
raakhee	ರಾಖೀ
raakhi	ರಾಖಿ
raam	ರಾಮ್
raamalaal	ರಾಮಲಾಲ್
raamanaaraayan	ರಾಮನಾರಾಯಣ
raamateke	ರಾಮಟೇಕ್
raamaveer	ರಾಮವೀರ್
raamavilaas	ರಾಮವಿಲಾಸ್
raameshvar	ರಾಮೇಶ್ವರ
raasavihaaree	ರಾಸವಿಹಾರೀ
raaseshvaree	ರಾಸೇಶ್ವರೀ
raashi	ರಾಶಿ
raat andheri thi	ರಾತ್ ಅಂಧೇರಿ ಥಿ
raat aur din	ರಾತ್ ಔರ್ ದಿನ್
raat ke rahi	ರಾತ್ ಕೆ ರಾಹಿ
raat ki baat	ರಾತ್ ಕೆ ಬಾತ್
raat ki rani	ರಾತ್ ಕೆ ರಾನಿ
rabab	ರಬಬ್
rabbani	ರಬ್ಬಾನಿ
rabee	ರಬೀ
rabi'ah	ರಬಿಯಾಹ್
rabia al-adawiya	ರಬೀಯಾ ಅಲ್-ಅದಾವಿಯಾ
race	ರೇಸ್
rachelle	ರಶೇಲ್
rachna	ರಚನಾ
rad	ರೆಡ್
radetzky	ರಾಡೆಟ್‌ಜೈಕ್
radhakrishna	ರಾಧಾಕೃಷ್ಣ
radhavallabh	ರಾಧಾವಲ್ಲಭ
radhesh	ರಾಧೇಶ
radhey	ರಾಧೇಯ
radhika	ರಾಧಿಕಾ
radiology	ರೇಡಿಯಾಲಜಿ
radium	ರೇಡಿಯಂ
radley	ರಾಡ್ಲೆ
radon	ರಾಡಾನ್
rae	ರೇ
raeanne	ರೇನಿ
raees	ರಯೀಸ್
rafe	ರೇಫ್
rafee	ರಫೀ
rafeeqah	ರಫೀಖಾ
raffaello	ರೈಫೆಲೊ
rafiah	ರಫಿಯಾ
rafiqah	ರಫಿಕಾ
rafiqul	ರಫೀಕುಲ್
rafting	ರಾಫ್ಟಿಂಗ್
raghad	ರಘಡ್
raghav	ರಾಘವ್
raghib	ರಘಿಬ್
raghnall	ರಾಘನಲ್
raghubir	ರಘುಬಿರ್
raghukul	ರಘುಕುಲ
raghunaath	ರಘುನಾಥ
raghunath	ರಘುನಾಥ
raghupati	ರಘುಪತಿ
raghuvansh	ರಘುವಂಶ್
rahabar	ರಹಬರ್
rahamat	ರಹಮತ್
rahat	ರಾಹತ್
rahgeer	ರಾಹಗಿರ್
rahole	ರಹೋಲೆ
rahul	ರಾಹುಲ್
rahul dravid	ರಾಹುಲ್ ದ್ರಾವಿಡ್
rahul sanghvi	ರಾಹುಲ್ ಸಾಂಘ್ವಿ
raibareli	ರಾಯ್ ಬರೇಲಿ
raichur	ರಾಯಚೂರ್
raigad fort	ರಾಯ್‌ಗಢ್ ಫೋರ್ಟ್
raigarh	ರಾಯಗರ್
raikoti	ರಾಯ್‌ಕೋಟಿ
rain calcining	ರೈನ್ ಕ್ಯಾಲ್ಸಿನಿಂಗ್
rainbow warrior	ರೈನ್‌ಬೋ ವಾರಿಯರ್
raipur	ರಾಯ್ಪುರ್
raiqah	ರೈಖಾ
raitah	ರೈತಾ
raj	ರಾಜ್
raj dulari	ರಾಜ್ ದುಲಾರಿ
raj laxmi	ರಾಜ್ ಲಕ್ಷ್ಮಿ
raj nandini	ರಾಜ್ ನಂದಿನಿ
raj nartaki	ರಾಜ್ ನರ್ತಕಿ
raja kaka	ರಾಜಾ ಕಾಕಾ
rajab	ರಜಬ್
rajadhyaksha	ರಾಜಾಧ್ಯಕ್ಷ
rajagopala	ರಾಜಗೋಪಾಲ
rajaji	ರಾಜಾಜಿ
rajan	ರಾಜನ್
rajaneekar	ರಜನೀಕರ್
rajani	ರಜನಿ
rajat	ರಜತ್
rajataabh	ರಜತಾಭ್
rajdhani	ರಾಜಧಾನಿ
rajdrohi	ರಾಜದ್ರೋಹಿ
rajdulari	ರಾಜದುಲಾರಿ
rajeev	ರಾಜೀವ್
rajendra prasad	ರಾಜೇಂದ್ರ ಪ್ರಸಾದ್
rajendramohan	ರಾಜೇಂದ್ರಮೋಹನ
rajesh chauhan	ರಾಜೇಶ್ ಚೌಹಾನ್
rajgad fort	ರಾಜ್‌ಗಢ್ ಫೋರ್ಟ್
rajin saleh	ರಜಿನ್ ಸಾಲೇ
rajiyah	ರಾಜಿಯಾ
rajkot	ರಾಜ್ ಕೋಟ್
rajmahal	ರಾಜ್‌ಮಹಲ್
rajmukut	ರಾಜ್‌ಮುಕುಟ್
rajnandini	ರಾಜನಂದಿನಿ
rajneesh	ರಜನೀಶ್
rajni raja	ರಜನಿ ರಾಜ
rajnigandha	ರಾಜನೀಗಂಧಾ
rajpal	ರಾಜ್‌ಪಾಲ್
rajput	ರಾಜಪೂತ್
rajputani	ರಾಜಪೂತಾನೀ
rakhda	ರಖಡಾ
rakhi	ರಾಖೀ
rakhshan	ರಖಶಾನ್
raksha	ರಕ್ಷಾ
raksha bandhan	ರಕ್ಷಾ ಬಂಧನ್
raktikaa	ರಕ್ತಿಕಾ
raleigh	ರಾಲೈ
ram avtar	ರಾಮ್ ಅವತಾರ್
ram kasam	ರಾಮ್ ಕಸಮ್
ram ki ganga	ರಾಮ್ ಕಿ ಗಂಗಾ
ram tera desh	ರಾಮ್ ತೇರಾ ದೇಶ್
ram tere kitne naam	ರಾಮ್ ತೇರಿ ಕಿತನೆ ನಾಮ್
rama lingeshwara	ರಾಮಲಿಂಗೇಶ್ವರ
ramadhip	ರಮಾದೀಪ
ramaia	ರಮಯ್ಯಾ
ramakant	ರಮಾಕಾಂತ್
raman lamba	ರಮಣ್ ಲಂಬಾ
ramandeep	ರಮಣದೀಪ್
ramani	ರಮಣಿ
ramanuj	ರಾಮಾನುಜ್
ramat-gan	ರಮತ್-ಗನ್
ramavatar	ರಾಮಾವತಾರ್
ramayana	ರಾಮಾಯಣ
ramchandr	ರಾಮಚಂದ್ರ
ramcoind	ರಾಮ್ಕೊಇಂಡ್
ramdoot	ರಾಮದೂತ್
ramesh	ರಮೇಶ್
rameshwaram	ರಾಮೇಶ್ವರಂ
ramita	ರಮಿತಾ
ramiz	ರಮಿಜ್
ramkishore	ರಾಮಕಿಶೋರ್
ramkrishna	ರಾಮಕೃಷ್ಣ
ramkumar	ರಾಮಕುಮಾರ್
ramnaresh sarwan	ರಾಮನರೇಶ್ ಶರವಣ್
ramnarine	ರಾಮನಾರಾಯಣ್
ramona	ರಮೋನಾ
ramswaroop	ರಾಮಸ್ವರೂಪ
ramu ustad	ರಾಮೂ ಉಸ್ತಾದ್
rana	ರಾಣಾ
ranachhod	ರಣಚ್ಛೋಡ್
ranade	ರಾನಡೆ
ranadurgaa	ರಣದುರ್ಗ
ranakpur sanchaur	ರಾನಕ್ಪುರ್ ಸಂಚಾರ್
ranaveer	ರಣವೀರ್
rance	ರಾನ್ಸ್
ranchandi	ರಣಚಂಡಿ
ranchi express	ರಾಂಚಿ ಎಕ್ಸ್‌ಪ್ರೆಸ್
rand	ರೇಂಡ್
randall	ರಾಂಡಲ್
randhawa	ರಂಧಾವಾ
randheer	ರಣಧೀರ್
randilyn	ರೇಂಡಿಲಿನ್
rane brake	ರಾಣೆ ಬ್ರೇಕ್
rangan	ರಂಗನ್
rangana	ರಂಗನಾ
rangeen kahani	ರಂಗೀನ್ ಕಹಾನೀ
ranger	ರೇಂಜರ್
rangila jawan	ರಂಗೀಲಾ ಜವಾನ್
rangila ratan	ರಂಗೀಲಾ ರತನ್
rangnathar	ರಂಗನಾಥರ್
rangoli	ರಂಗೋಲಿ
rani	ರಾಣಿ
rani roopmati	ರಾಣಿ ರೂಪಮತಿ
ranjan	ರಂಜನ್
ranjan das	ರಂಜನ್ ದಾಸ್
ranjan gunatilleke	ರಂಜನ್ ಗುಣತಿಲಕೆ
ranjanee	ರಂಜನೀ
ranjini	ರಂಜಿನಿ
ranjit fernando	ರಂಜಿತ್ ಫರ್ನಾಂಡೊ
ranjita	ರಂಜಿತಾ
rankings	ರಾಂಕಿಂಗ್ಸ್
ranthambor	ರಂತಂಬೋರ್
rao	ರಾವೋ
raonar	ರಾವೋನರ್
raqibul hasan	ರಖಿಬುಲ್ ಹಸನ್
raquetball	ರಾಕೆಟ್‌ಬಾಲ್
rasal	ರಸಾಲ್
rasavant	ರಸವಂತ್
rasbihari	ರಾಸಬಿಹಾರಿ
raseem	ರಸೀಂ
rasheed	ರಶೀದ್
rashi	ರಾಶಿ
rashid patel	ರಶೀದ್ ಪಟೇಲ್
rashida	ರಶೀದಾ
rashinkar	ರಾಶಿಂಕರ್
rashk e laila	ರಶ್ಕ್ ಎ ಲೈಲಾ
rashmi	ರಶ್ಮಿ
rashtraveer shivaji	ರಾಷ್ಟ್ರವೀರ್ ಶಿವಾಜಿ
rashtriya chem	ರಾಷ್ಟ್ರೀಯ ಕೆಮ್
rasia	ರೇಸಿಯಾ
rasika	ರಸಿಕಾ
rasna	ರಸನಾ
ratan deep	ರತನ್ ದೀಪ್
ratanalaal	ರತನ್‌ಲಾಲ್
rathapati	ರತ್ನಪತಿ
rati	ರತಿ
ratia	ರತಿಯಾ
ratish	ರತೀಶ್
ratnabh	ರತ್ನಾಭ್
ratnalekha	ರತ್ನಲೇಖ
raton ka raja	ರಾತೋಂ ಕಾ ರಾಜಾ
ratul	ರಾತುಲ್
raunak	ರೌನಕ್
raunaq	ರೌನಕ್
raverkar	ರಾವೇರ್ಕರ್
ravichandran	ರವಿಚಂದ್ರನ್
ravij	ರವಿಜ್
ravinandan	ರವಿನಂದನ್
ravindr	ರವಿಂದರ್
ravindra	ರವೀಂದ್ರ
raviprabha	ರವಿಪ್ರಭಾ
ravipriy	ರವಿಪ್ರಿಯ
ravivanshee	ರವಿವಂಶೀ
rawahah	ರವಾಹಾ
rawdah	ರಾವದಾ
rawh	ರೌಹ್
rawlins	ರಾಲಿನ್ಸ್
ray charles	ರೇ ಚಾರ್ಲ್ಸ್
rayhan	ರೇಹಾನ್
raymond	ರೇಮಂಡ್
rayyan	ರೆಯಾನ್
razia sultan	ರಜಿಯಾ ಸುಲ್ತಾನ್
real	ರಿಯಲ್
rebaba	ರೆಬಾಬಾ
redoute de tallaert	ರೆಡೌಟ್ ಡಿ ಟಲಾರ್ಟ್
reed	ರೀಡ್
reedsport christian	ರೀಡ್‌ಸ್ಪೋರ್ಟ್ ಕ್ರಿಶ್ಚಿಯನ್
reekhabachandr	ರೀಖಾಬಚಂದ್ರ
reen	ರೀನ್
reetaa	ರೀತಾ
reetinder sodhi	ರಿತಿಂದರ್ ಸಿಂಗ್
regina maria pia	ರೆಜಿನಾ ಮಾರಿಯಾ ಪೀ
reginald	ರೇಗಿನಾಲ್ಡ್
regis	ರೇಗಿಸ್
rehan	ರೇಹಾನ್
rehana	ರೆಹಾನಾ
rei agro	ರೀ ಆಗ್ರೋ
rekha	ರೇಖಾ
rekhi	ರೇಖಿ
renee zellweger	ರೀನೀ ಜೆಲವೆಗರ್
renguzar	ರೆನ್‌ಗುಜರ್
reon king	ರಿಯೋನ್ ಕಿಂಗ್
reporter	ರಿಪೋರ್ಟರ್
reporter raju	ರಿಪೋರ್ಟರ್ ರಾಜು
reprisal	ರೆಪ್ರೈಸಲ್
reque	ರೇಕಿ
requin	ರಿಕ್ವಿನ್
requinto	ರೇಕಿಂಟೊ
resham	ರೇಶಮ್
resham ki dori	ರೇಶಮ್ ಕಿ ಡೋರಿ
reshma	ರೇಶ್ಮಾ
reshma aur shera	ರೇಶಮ್ ಔರ್ ಶೇರಾ
reshmi	ರೇಶ್ಮಿ
resources	ರಿಸೋರ್ಸಸ್
restoration	ರಿಸ್ಟೋರೇಶನ್
resurrection lutheran	ರಿಸರಕ್ಷನ್ ಲುಥೆರಾನ್
ret mahal	ರೆತ್ ಮಹಲ್
retalix	ರಿಟಾಲಿಕ್ಸ್
revati	ರೇವತಿ
reward	ರಿವಾರ್ಡ್
reynard	ರೆನಾರ್ಡ್
reynold	ರೆನಾಲ್ಡ್
rhett	ರೇಟ್
rhine	ರೈನ್
rhoda	ರೋಡಾ
rhodes aquarium	ರೋಡ್ಸ್ ಅಕ್ವೇರಿಯಂ
rhodium	ರೋಡಿಯಂ
rhona	ರೋನಾ
rhoswen	ರೋಸ್ವೆನ್
rianna	ರಿಯಾನ್ನಾ
rich	ರಿಚ್
richa	ರಿಚಾ
richard burton	ರಿಚರ್ಡ್ ಬರ್ಟನ್
richard clarke	ರಿಚರ್ಡ್ ಕ್ಲಾರ್ಕ್
richard dawson	ರಿಚರ್ಡ್ ಡಾಸನ್
richard johnson	ರಿಚರ್ಡ್ ಜಾನ್ಸನ್
