A	এ
PITT	পিট
PITTSBURG	পিট্টসবার্গ
PIXELPLUS	ফিজেলপ্লাস
PIYARILAL	পিযারীলাল
PIYUSH	পিযুস
PLABAN	প্লাবন
PLAINFIELD	প্লেনফিল্ড
PLAINS	প্লেনস
PLATEAU	প্লেটো
PLATINUM	প্লাটিনাম
PLAYER	প্রেয়ার
PLAYERS	প্লেয়ারস
PLAYWIN	প্লেউইন
PLOVER	প্লোভার
PLUNKETT	প্লানকেট
PLUTONIUM	প্লুটোনিয়াম
POCOCK	পোকোক
POE	পোয়ে
POETS	পোয়েটস
POINT	পয়েন্ট
POLAND	পোল্যান্ড
POLE	পোল
POLHAWN	পোলহাওয়ান
POLICE	পুলিশ
POLLINGTON	পোলিংটন
POLLOCK	পুলুক
POLO	পোলো
POLONIUM	পোলোনিয়াম
POLYDEX	পলিডেক্স
POMMERN	পোমমের্ন
PONDICHERRY	পণ্ডিচেরী
PONKSHE	পোঙ্কসে
PONNANIAR	পোন্নানিয়ার
PONT	পোন্ট
PONTISSE	পন্টিসে
POOLS	পুলস
POORI	পুরী
POPAL	পোপল
POPCORN	পপকর্ন
POPE	পোপ
POPHALIKAR	পোফালিকার
POPHAM	পফাম
POPULAR	পপুলার
PORANDALAR	পোরান্দালার
PORE	পোরে
PORTE	পোর্টে
PORTELA	পোর্টেল
PORTER	পোর্টার
PORTRAIT	পোর্ট্রাইট
PORTSDOWN	পোর্টডাউন
PORTSMOUTH	পোর্টসমাউথ
PORTTIPAHTA	পোরট্টিপাহটা
PORTUGAL	পর্তুগাল
POSCO	পোসকো
POSEN	পোসেন
POST	পোষ্ট
POTDAR	পোতদার
POTHAS	পোথস
POTHOHAR	পথোহার
POTHOHARI	পথোহারি
POTOSI	পোতোসি
POTTER	পটার
POULAMI	পৌলমী
POULOMI	পৌলোমী
POUND	পাউণ্ড
POUR	পোউর
POWAR	পাওয়ার
POWELL	পাওয়েল
POWER	পাওয়ার
POWERDSINE	পাওয়ারডসিনে
POWERFUL	পাওয়ারফুল
PRABAL	প্রবাল
PRABATH	প্রভাথ
PRABHA	প্রভা
PRABHABATI	প্রভাবতী
PRABHADEVI	প্রভাদেবী
PRABHAKAR	প্রভাকর
PRABHANJANA	প্রভঞ্জন
PRABHANSHU	প্রভাংশু
PRABHASH	প্রভাস
PRABHASHIS	প্রভাশীষ
PRABHAT	প্রভাত
PRABHATKUMAR	প্রভাতকুমার
PRABHIN	প্রভীন
PRABHU	প্রভু
PRABHUDAS	প্রভুদাস
PRABHUNATH	প্রভূনাথ
PRABHURAM	প্রভুরাম
PRABIN	প্রবীণ
PRABIRKUMAR	প্রবীরকুমার
PRABODH	প্রবোধ
PRABUDHA	প্রবুদ্ধ
PRADEEP	প্রদীপ
PRADESH	প্রদেশ
PRADIP	প্রদীপ
PRADIPTA	প্রদীপ্তা
PRAG	প্রাগ
PRAGATI	প্রগতি
PRAGUE	প্রাগ
PRAHALAD	প্রহালাদ
PRAHLAD	প্রহলাদ
PRAJA	প্রজা
PRAJAPATI	প্রজাপতি
PRAKASH	প্রকাশ
PRAKRITI	প্রকৃতি
PRALAYKUMAR	প্রলযকুমার
PRAMATHA	প্রমথ
PRAMATHANATH	প্রমথনাথ
PRAMILA	প্রমিলা
PRAMILABALA	প্রমিলাবালা
PRAMILADEBI	প্রমিলাদেবী
PRAMOD	প্রমোদ
PRAMODA	প্রমদা
PRAMODABALA	প্রমদাবালা
PRANA	প্রান
PRANAB	প্রণব
PRANABESH	প্রনবেশ
PRANABKUMAR	প্রণবকুমার
PRANATOSH	প্রানতোষ
PRANESH	প্রানেশ
PRANITA	প্রনিতা
PRANKRISHNA	প্রানকৃষ্ণ
PRANKUMAR	প্রানকুমার
PRAPHULLA	প্রফুল্ল
PRASAD	প্রসাদ
PRASADI	প্রসাদী
PRASANGA	প্রসঙ্গ
PRASANNA	প্রসন্ন
PRASANTA	প্রসান্ত
PRASENJIT	প্রসেনজিত
PRASONJIT	প্রসঞ্জিত
PRATAP	প্রতাপ
PRATAPGAD	প্রতাপগড়
PRATAPGARH	প্রতাপগড়
PRATAPKUMAR	প্রতাপকুমার
PRATHAM	প্রথম
PRATHAMA	প্রথমা
PRATHAMI	প্রথমী
PRATI	প্রতি
PRATIBHARANI	প্রতিভারানী
PRATIDIN	প্রতিদিন
PRATIMA	প্রতিমা
PRATIMADEBI	প্রতিমাদেবী
PRATIMARANI	প্রতিমারাণী
PRAVABATIDEBI	প্রভাবতীদেবী
PRAVATI	প্রভাতি
PRAVIN	প্রাভিন
PRAYER	প্রেয়ার
PRECIOUS	প্রেসিয়াস
PRECISION	প্রেসিসান
PREETAM	প্রীতম
PREGL	প্রেগ্ল
PREIS	প্রেইজ
PREM	প্রেম
PREMA	প্রেমা
PREMADEBI	প্রেমাদেবী
PREMANANDA	প্রেমানন্দ
PREMASHISH	প্রেমাশীষ
PREMCHAND	প্রেমচাঁদ
PREMCHANDRA	প্রেমচন্দ্র
PREMCOR	প্রেমকোর
PREMDHAR	প্রেমধর
PREMI	প্রেমী
PREMKUMAR	প্রেমকুমার
PREMLATA	প্রেমলতা
PREMSHANKAR	প্রেমশঙ্কর
PRESBYTERIAN	প্রেসবাইটেরিয়ান
PRESERNOVA	প্রেসেরনোভা
PRESIDENCY	প্রেসিডেন্সি
PRESIDENT	প্রেসিডেন্ট
PRESLEY	প্রেসলি
PRETORIUS	প্রেটোরিয়াস
PRICEWATERHOUSE	প্রাইসওয়াটারহাউস
PRICOL	প্রাইকল
PRIEST	প্রিস্ট
PRIESTLEY	প্রিস্টলি
PRINCESS	প্রিন্সেস
PRINCETON	প্রিন্সটোন
PRINTING	প্রিন্টিং
PRINZREGENT	প্রিঞ্জরিজেন্ট
PRIOR	প্রিওর
PRIS	প্রিস
PRISM	প্রিজম
PRITAM	প্রিতম
PRITAPAL	প্রীতপাল
PRITHA	পৃথা
PRITHWIRAJ	পৃথ্বীরাজ
PRITIKANA	প্রীতিকনা
PRITILATA	প্রীতিলতা
PRIX	প্রিক্স
PRIYANKA	প্রিযাঙ্কা
PRIYARANJAN	প্রিযরঞ্জন
PRIZE	প্রাইজ
PRO	প্রো
PROBOD	প্রবোদ
PROCESSING	প্রোশেসিং
PRODUCTS	প্রোডাক্টস
PROFESSIONAL	প্রোফেশোনাল
PROFFITT	প্রফিট
PROFILES	প্রোফাইলস
PROGEN	প্রোগেন
PROGEON	প্রোজিয়ন
PROGRESSIVE	প্রগ্রেসিভ
PROJECTS	প্রজেক্টস
PROMETHEUS	প্রোমেথেয়াস
PROMILA	প্রমীলা
PROMIT	প্রমিত
PROMITA	প্রমিতা
PROPACK	প্রোপ্যাক
PROSPER	প্রোস্পার
PROTACTINIUM	প্রোটাক্টিনিয়াম
PROTHERICS	প্রোথেরিকস
PROTIK	প্রোতিক
PROVIDENCE	প্রভিডেন্স
PROVINCIEN	প্রভিনসিয়েন
PRUDENTIAL	প্রুডেন্সিয়াল
PRUSSIAN	প্রুসিয়ান
PRUTH	প্রুথ
PSYCHIATRY	সাইকিয়াট্রি
PUAS	পুয়াস
PUB	পুব
PUBLIC	পাবলিক
PUBLIX	পাবলিক্স
PUDHARI	পুধারি
PUERS	পুয়ের্স
PUJA	পূজা
PUKASKWA	পুকাস্কাওয়া
PULAK	পুলক
PULAKESH	পুলকেশ
PULAKRANJAN	পুলকরঞ্জন
PULASKI	পুলষ্কি
PULIN	পূলিন
PULINBIHARI	পুলিনবিহারী
PULITZER	পুলিতজার
PULKOVO	পালকোভো
PULMA	পুলমা
PULS	পালস
PULWAMA	পুলামা
PUMACOCHA	পুমাকোছা
PUNAMKUMARI	পুনমকুমারী
PUNE	পুণে
PUNI	পুনী
PUNIA	পুনিয়া
PUNIT	পুনিত
PUNITA	পুনিতা
PUNJA	পাঞ্জাব
PUNJAB	পাঞ্জাব
PUNTI	পুঁটি
PUNTUBALA	পুঁটবালা
PUNU	পুনু
PUPPET	পাপ্পেট
PURABI	পূরবী
PURANA	পুরানা
PURANIK	পুরানিক
PURANJAN	পুরঞ্জন
PURBA	পুরবা
PURBASHA	পূর্বাশা
PURBI	পুরবি
PURBROOK	পুরব্রোক
PURI	পুরী
PURKAR	পুরকার
PURNA	পূর্ণ
PURNADAS	পূর্ণদাস
PURNALAXMI	পুর্ণলক্ষী
PURNANANDA	পূর্ণানন্দ
PURNENDU	পুর্ণেন্দু
PURNIMA	পুর্ণিমা
PURULIA	পুরুলিয়া
PURUS	পু্রুশ
PUSHKIN	পুশকিন
PUSHPA	পুষ্প
PUSHPAKUMARA	পুশপকুমার
PUSHPANDU	পুষ্পেন্দু
PUSHPARANI	পুস্পরাণী
PUSPA	পুস্পা
PUSPABALA	পুষ্পবালা
PUSPADEVI	পুষ্পদেবী
PUSPALATA	পুস্পলতা
PUSPARANI	পূষ্পরানী
PUSPEN	পুষ্পেন
PUSPITA	পুস্পিতা
PUSTAM	পুস্তম
PUTI	পুতি
PUTKI	পুটকি
PUTRI	পুটরী
PUTUK	পুটুক
PUTUL	পুতুল
PUTULA	পুটুলা
PUTULBALA	পুতুলবালা
PUTULDEVI	পুতুলদেবী
PUTULI	পুতুলী
PUTULRANI	পুতুলরাণী
PUTUN	পুতুন
PUTUNI	পুটুনি
PUVIS	পুভিস
PYCROFT	পিক্রোফট
PYONGYANG	পিয়ংইয়াং
PYRENEES	পাইরেনিস
QADIR	কাদির
QALANDER	কলান্দার
QANOUN	কানাউন
QASIM	কাসিম
QIAGEN	কুয়াজেন
QIN	কুইন
QUAD	কুয়াড
QUADRI	কোয়াড্রি
QUADRILLE	কোয়াড্রিল
QUANTA	কোয়ান্টা
QUASI	কোয়াসী
QUAYLE	কুয়াইলে
QUEENS	কুইন্স
QUEENSBORO	কুইন্সবোরো
QUEENSLAND	কুইন্সল্যান্ড
QUEENSLANDER	কুইনস্লান্ডার
QUENA	কুয়েনা
QUENACHO	কুয়েনাচো
QUETZAL	কুয়েতজল
QUICKSTEP	কুইকস্টেপ
QUILA	কিলা
QUINTANA	কুইনতানা
QUITAIPLAS	কুইটাইপ্লাস
QUITO	কুইটো
QURAN	কোরান
QUTBUDDIN	কোতুবউদ্দিন
QUTTINIRPAAQ	কুত্তিনিরপাক
QWEST	কুওয়েষ্ট
RAAJWADE	রাজওয়াদে
RAANE	রাণে
RABA	রাবা
RABAN	রাবণ
RABAT	রাবাট
RABBAYKUL	রব্বেকুল
RABI	রাবি
RABIA	রাবিয়া
RABIBUL	রবিবুল
RABICHAND	রবিচাঁদ
RABICHANDRA	রবিচন্দ্র
RABIDAS	রবিদাস
RABIDEB	রবিদেব
RABIKANTA	রবিকান্ত
RABILAL	রবিলাল
RABILOCHON	রবিলোচন
RABIN	রাবিন
RABINA	রবীনা
RABINCHANDRA	রবীনচন্দ্র
RABINDRA	রবিন্দ্র
RABINDRALAL	রবীন্দ্রলাল
RABINDRANATH	রবীন্দ্রনাথ
RABINKUMAR	রবীনকুমার
RABIPRAKASH	রবিপ্রকাশ
RABIRAM	রবিরাম
RABIRATAN	রবিরতন
RABIRUL	রবিরুল
RABISHANKAR	রবিশঙ্কর
RABISHWAR	রবিশ্বর
RABITA	রবিতা
RABIULALAM	রবিউলআলম
RABIULLA	রবিউল্লা
RABU	রাবু
RACE	রেস
RACHANA	রচনা
RACING	রেসিং
RADANARA	রসেনারা
RADETZKY	রেডেটজকি
RADHA	রাধা
RADHABALA	রাধাবালা
RADHABALLAV	রাধাবল্লভ
RADHABINOD	রাধাবিনোদ
RADHACHARAN	রাধাচরন
RADHAKANTA	রাধাকান্ত
RADHAKRISHNA	রাধাকৃষ্ণ
RADHALAKSHMI	রাধালক্ষী
RADHAMADHAB	রাধামাধব
RADHAMANI	রাধামনি
RADHANAGARI	রাধানগরী
RADHANATH	রাধানাথ
RADHAPADA	রাধাপদ
RADHAPRASAD	রাধাপ্রসাদ
RADHARANI	রাধারানি
RADHASHYAM	রাধাশ্য়াম
RADHIKA	রাধীকা
RADICA	রেডিকা
RADIO	রেডিও
RADIOLOGY	রেডিওলজি
RADLEY	রেডলি
RADON	রেডন
RADWARE	র্যাডওয়ার
RAFAEL	রাফেল
RAFIJA	রফিজা
RAFIK	রফিক
RAFIKABEGAM	রফিকাবেগম
RAFIKUDDIN	রফিকউদ্দিন
RAFIKUL	রফিকুর
RAFIKULALAM	রফিকুলআলম
RAFIKULHAK	রফিকুলহক
RAFIQ	রাফিক
RAFIQUE	রাফিক
RAFIQUL	রফিকুল
RAFIUL	রফিউল
RAFIULLA	রফিউল্লা
RAFTING	রেফটিং
RAFTO	রাটো
RAGHAB	রাঘব
RAGHABENDRA	রাঘবেন্দ্র
RAGHUBANSH	রঘুবংশ
RAGHUBIR	রঘুবীর
RAGHUDEB	রঘুদেব
RAGHUNATH	রথুনাথ
RAGHUPATI	রঘুপতি
RAGHURAJ	রঘুরাজ
RAGI	রাগি
RAGINI	রাগিনী
RAGOONATH	রগুনাথ
RAHAMAN	রহমন
RAHAMANALI	রহমানআলি
RAHAMATALI	রহমতআলি
RAHAMATI	রহমতী
RAHELA	রাহেলা
RAHID	রহিদ
RAHILA	রাহিলা
RAHILABEGAM	রহিলাবেগম
RAHIM	রাহিম
RAHIMA	রহীমা
RAHIMUDDIN	রহিমউদ্দিন
RAHINA	রহিনা
RAHINIBALA	রহনীবালা
RAHMAN	রহমান
RAHMAT	রহমত্
RAHULDEB	রাহুলদেব
RAIBARELI	রাইবেরিলি
RAICHAD	রাইচাঁদ
RAICHARAN	রাইচরন
RAICHUR	রাইচূড়
RAIGAD	রায়গড়
RAIGARH	রাইগড়
RAIKISOR	রাইকিশোর
RAIKOTI	রাইকোটি
RAILA	রাইলা
RAIMA	রাইমা
RAIMAN	রাইমন
RAIMANI	রাইমণি
RAIMOTI	রাইমতি
RAINA	রাইনা
RAINBOW	রেনবো
RAINSFORD	রেন্সফোর্ড
RAIPADA	রাইপদ
RAIPUR	রাইপুর
RAISA	রাইসা
RAIT	রাইত
RAJ	রাজ
RAJA	রাজা
RAJABALA	রাজাবালা
RAJABALI	রজবআলী
RAJADHYAKSHA	রাজাধিয়াক্সা
RAJAGOPALA	রাজাগোপালা
RAJANIBALA	রজনীবালা
RAJARAM	রাজারাম
RAJARSHI	রাজর্ষি
RAJASMAND	রাজস
RAJATKANTI	রজতকান্তি
RAJATKUMAR	রজতকুমার
RAJBAHADUR	রাজবাহাদুর
RAJBALA	রাজবালা
RAJBALI	রাজবলী
RAJBANSHI	রাজবংশী
RAJBINDAR	রাজবিন্দর
RAJDEB	রাজদেব
RAJDIP	রাজদীপ
RAJE	রাজে
RAJEN	রাজেন
RAJENDAR	রাজিন্দর
RAJENDRA	রাজেন্দ্র
RAJESHWAR	রাজেশ্বর
RAJESWARI	রাজেশ্বরী
RAJGAD	রাজগড়
RAJGARH	রাজগড়
RAJGEER	রাজগীর
RAJGIR	রাজগীর
RAJI	রাজি
RAJIB	রাজীব
RAJIBKUMAR	রাজীবকুমার
RAJIN	রাজিন
RAJINDRA	রাজিন্দ্র
RAJIUL	রাজিউল
RAJJAK	রজ্জাক
RAJKAMAL	রাজকমল
RAJKISORE	রাজকিশোরী
RAJKOT	রাজকোট
RAJKRISHNA	রাজকৃষ্ণ
RAJKUMAR	রাজুকুমার
RAJKUMARI	রাজকুমারী
RAJLAKSHMI	রাজলক্ষী
RAJMA	রাজমা
RAJMACHIKAR	রাজমাচিকার
RAJMANGAL	রাজমঙ্গল
RAJMANI	রাজমনি
RAJMATI	রাজমতি
RAJNANDAN	রাজনন্দন
RAJNANDINI	রাজনন্দিনী
RAJNISH	রজনীশ
RAJORSHI	রাজর্ষি
RAJOURI	রাজৌরি
RAJPUT	রাজপুত
RAJTSHUBHRA	রজতশুভ্র
RAJU	রাজু
RAJUGOPAL	রাজুগোপাল
RAJUPRASAD	রাজুপ্রসাদ
RAKAAB	রাকাব
RAKEBABIBI	রাকেবাবিবি
RAKESH	রাকেশ
RAKESHKUMAR	রাকেশকুমার
RAKET	রকেট
RAKHAD	রাখাদ
RAKHAHARI	রাখহরি
RAKHALCHANDRA	রাখালচন্দ্র
RAKHDIAN	রাখদিয়ান
RAKHI	রাখী
RAKHIDABI	রাখীদেবী
RAKHIRANI	রাখীরানী
RAKHRA	রাখরা
RAKIBUL	রকিবুল
RAKSHA	রক্ষা
RAKSHIT	রক্ষিত
RAKTARANI	রিক্তারাণী
RALEIGH	রলিগ
RALLIS	র্যালিস
RAMA	রামা
RAMADHAR	রামাধর
RAMAKANTA	রমাকান্ত
RAMAN	রামান
RAMANADHI	রামানধি
RAMANATH	রমানাথ
RAMANAYAKE	রামানায়েক
RAMANIBALA	রমনীবালা
RAMANIKANTA	রমনীকান্ত
RAMANIMOHAN	রমনীমোহন
RAMANUJAN	রামানুজন
RAMAPADA	রমাপদ
RAMAPATI	রমাপতি
RAMAPPA	রামাপ্পা
RAMAPRASAD	রমাপ্রসাদ
RAMARANI	রমারাণী
RAMASHANKAR	রামাশঙ্কর
RAMASWAMI	রামোস্বামী
RAMBABU	রামবাবু
RAMBAHADUR	রামবাহাদুর
RAMBAHAL	রামবাহাল
RAMBAI	রামবাঈ
RAMBANDHU	রামবন্ধু
RAMBATIDEVI	রামবতীদেবী
RAMBHA	রম্ভা
RAMBILAS	রামবিলাস
RAMCHAND	রামচাঁদ
RAMCHANDAR	রামচন্দর
RAMCHANDRA	রামচন্দ্র
RAMCHARIT	রামচরিত্র
RAMCO	রামকো
RAMDAS	রামদাস
RAMDASS	রামদাস
RAMDEV	রামদেব
RAMDHAN	রামধন
RAMDHARI	রামধারী
RAMDIN	রামদিন
RAMDULAL	রামদুলাল
RAMDULARI	রামদুলারী
RAMEN	রমেন
RAMENDRA	রমেন্দ্র
RAMENDRANATH	রমেন্দ্রনাথ
RAMENKUMAR	রমেনকুমার
RAMESHPRASAD	রমেশপ্রসাদ
RAMESHWARI	রামেশ্বরী
RAMGADIA	রামগাদিয়া
RAMGARH	রামগড়
RAMGOPAL	রামগোপাল
RAMHARI	রামহরি
RAMIREZ	রামিরেজ
RAMISHWAR	রামঈশ্বর
RAMJAN	রমজান
RAMJANALI	রমজানআলী
RAMJI	রামজি
RAMKALIDEVI	রামকলিদেবী
RAMKANTA	রামকান্ত
RAMKASH	রামকেশ
RAMKINGKAR	রামকিঙ্কর
RAMKOLI	রামকলি
RAMKRIPAL	রামকৃপাল
RAMKUMARI	রামকুমারী
RAMLAKHAN	রামলক্ষন
RAMLAL	রামলাল
RAMMOHAN	রামমোহন
RAMNANDAN	রামনন্দন
RAMNARINE	রামনারিন
RAMON	রামোন
RAMPAL	রামপাল
RAMPATIDEVI	রামপতিদেবী
RAMPAUL	রামপাল
RAMPHAL	রামফল
RAMPRAKASH	রামপ্রকাশ
RAMPRASAD	রামপ্রসাদ
RAMPRATAP	রামপ্রতাপ
RAMPRIT	রামপ্রীত
RAMPUR	রামপুর
RAMRATIDEVI	রামরতিদেবী
RAMSAR	রামসর
RAMSARUP	রামসরুপ
RAMSES	রামসেস
RAMSHANKAR	রামশঙ্কর
RAMSUNDAR	রামসুন্দর
RAMSURESH	রামসুরেশ
RAMSWARUP	রামস্বরুপ
RAMTANU	রামতনু
RAMTARAK	রামতারক
RAMTARAN	রামতারন
RAMU	রামু
RAMUWALIA	রামুওয়ালিয়া
RANA	রানা
RANADEB	রনদেব
RANADHIR	রনধীর
RANAPRATAP	রানাপ্রতাপ
RANATUNGA	রনতুঙ্গা
RANBIR	রনবীর
RANCHI	রাঁচী
RAND	রান্ড
RANDALL	র্যানডল
RANDIP	রনদীপ
RANDOLPH	র্যানডলফ
RANE	রান
RANEN	রনেন
RANGABALA	রঙ্গবালা
RANGABATI	রত্নাবতী
RANGADEBI	রঙ্গদেবী
RANGALAL	রঙ্গঁলাল
RANGALATA	রঙ্গলতা
RANGANA	রঙ্গনা
RANGANATH	রঙ্গনাথ
RANGBAHADUR	রংবাহাদুর
RANGENA	রঙ্গেনা
RANGHINA	রঙিনা
RANGIDA	রঞ্জিদা
RANGILA	রঙ্গিলা
RANGINI	রঙ্গিনী
RANGIT	রঞ্জীত্
RANGITA	রঞ্জিতা
RANGLAL	রংলাল
RANGNATH	রঙ্গনাথ
RANGNATHAR	রঙ্গনাথর
RANGU	রঙ্গঁ
RANGUBALA	রঞ্জুবালা
RANIBALA	রানিবালা
RANIKOT	রানীকোট
RANITA	রনিতা
RANJA	রঞ্জা
RANJAN	রঞ্জন
RANJIT	রঞ্জিত
RANJITA	রঞ্জীতা
RANJITH	রঞ্জিথ
RANJITKUMAR	রঞ্জিতকুমার
RANJUDEVI	রঞ্জুদেবী
RANJURANI	রঞ্জুরানী
RANKINGS	রাঙ্কিংস
RANKS	রাঙ্কস
RANKURANI	রিংকুরানী
RANTHAMBHORE	রনথম্বোর
RANTHAMBOR	রণথম্ভোর
RANTU	রন্টু
RANU	রনু
RANUBALA	রাণুবালা
RANURANI	রানুরানী
RAO	রাও
RAOSHAN	রওশন
RAOSHANARA	রওশনারা
RAPTI	রাপ্তী
RAQIBUL	রাকিবুল
RAQUETBALL	রাকুয়েটবল
RASABATI	রসবতী
RASAL	রাসল
RASANBALA	রসনাবালা
RASARAJ	রসরাজ
RASBIHARI	রাসবিহারী
RASEDALI	রাসেদআলি
RASHBEHARI	রাশবেহারী
RASHID	রাসিদ
RASHIDA	রশিদা
RASHIDABIBI	রসিদাবিবি
RASHINKAR	রাশিনকার
RASHMI	রশ্মি
RASHTRIYA	রাষ্ট্রীয়
RASIDA	রাসিদা
RASIDAKHATUN	রশিদাখাতুন
RASIK	রসিক
RASMA	রাশমা
RASMANI	রাসমনি
RASMOHAN	রাসমোহন
RASMUNI	রাসমুনি
RASNA	রসনা
RASNATH	রসনাথ
RASPA	রাসপা
RASPAL	রসপাল
RASPBERRY	রাস্পবেরি
RASTRIYA	রাষ্ট্রিয়
RASUL	রসুল
RATAN	রতন
RATANBALA	রতনবালা
RATANCHANDRA	রতনচন্দ্র
RATANLAL	রতনলাল
RATANTI	রটন্তী
RATHASHWAR	রথেশ্বর
RATHER	রাথের
RATHIBALA	রথিবালা
RATHIKANTA	রতিকান্ত
RATHINDRA	রথীন্দ্র
RATHINDRANATH	রথীন্দ্রনাথ
RATHINKUMAR	রথীনকুমার
RATHMANI	রথমনি
RATHULAAL	রথুলাল
RATI	রতী
RATIA	রাতিয়া
RATILAL	রতিলাল
RATIRAM	রতিরাম
RATNA	রত্না
RATNABALA	রত্নাবালা
RATNAKAR	রত্নাকর
RATNAPARKHI	রত্নপারখি
RATNAYAKE	রত্নায়েক
RATNAYEKE	রত্নায়েক
RATNESHWAR	রত্নেশ্বর
RATON	রাটন
RATOWAL	রাতোওয়াল
RATRA	রত্রা
RATRI	রাত্রি
RATTU	রাট্টু
RATU	রতু
RATUL	রাতুল
RATULAL	রুটুলাল
RAUF	রাউফ
RAUL	রাউল
RAUSAN	রৌসান
RAVERKAR	রাভেরকার
RAVISHANKAR	রবিশঙ্কর
RAWA	রাওয়া
RAWL	রাওল
RAWLINS	রাউলিন
RAWSON	রোসন
RAY	রায়
RAYBAN	রেব্যান
RAYMOND	রেমন্ড
RAYNOLD	রেনল্ড
RAZDAN	রাজদান
RAZIN	রাজিন
RAZZAK	রাজ্জাক
RE	রি
READ	রিড
REAGAN	রেগন
REAL	রিয়েল
REBA	রেবা
REBABA	রেবাবা
REBATI	রেবতী
REBATIBALA	রেবতীবালা
REBATIMOHAN	রেবতীমোহন
REBI	রেবি
REBOTIRANI	রেবতীরাণী
RECORD	রেকর্ড
REDDYS	রেড্ডিস
REDEEMER	রেডেমার
REDIFFCOM	রেডিফ
REDOUBT	রিডাউট
REDOUTE	রিডাউট
REDPATH	রেডপথ
REEL	রিল
REEN	রীন
REETINDER	রেতিন্দ্র
REEVE	রেভ
REEVES	রিভেস
REF	রেফ
REFORMED	রিফর্মেড
REFUGEE	রিফুজ
REHAN	রেহান
REHANA	রেহানা
REHANABEGAM	রেহানাবেগম
REHANABIBI	রেহানাবিবি
REHENA	রেহেনা
REIBEL	রেইবেল
REID	রেড
REIFER	রেইফের
REIFFEL	রাইফেল
REINSURANCE	রিইনসিওরেন্স
REISUDDIN	রেইসুদ্দিন
REJAHOSEN	রেজাহোসেন
REJAKALI	রেজাকআলি
REJAULHOK	রেজাউলহক
REJEL	রেজেল
REJINABEGAM	রেজিনাবেগম
REKHA	রেখা
REKHABALA	রেখাবালা
REKHI	রেখী
RELATIVITY	রিলেটিভিটি
RELIANCE	রিলায়েন্স
REMO	রেমো
RENAULT	রেনাল্ট
RENE	রেনে
RENEE	রেনি
RENNIE	রেননি
RENO	রেনো
RENU	রেনু
RENUBALA	রেণুবালা
RENUKA	রেণুকা
RENUKABALA	রেনুকাবালা
RENUKARANI	রেনুকারানী
RENUKUMARI	রেনুকুমারী
RENUPRABHA	রেনুপ্রভা
RENVILLE	রেনভিল
REON	রেওন
REPUBLIC	রিপাবলিক
REPUBLIQUE	রিপাবলিক
REQUE	রেকে
REQUIN	রিকুইন
REQUINTO	রেকুইন্টো
RESCUE	রেস্কু
RESEARCH	রিসার্চ
RESERVOIR	রিজার্ভর
RESHMAKHATUN	রেশমাখাতুন
RESHMI	রেশমি
RESIDABIBI	রেসিদাবিবি
RESOURCES	রিসোর্স
RESTITUTA	রেস্টিটুটা
RESTORATION	রেস্টোরাশান
REUNIONS	রেউইনিওন্স
REVA	রেভা
REVELSTOKE	রেভেলস্টোক
REVERENCE	রেভারেন্স
REVOLT	রেভোল্ট
REVOLUTION	রিভোলিউশান
REVOLUTIONARY	রিভোলিউশনারী
REWA	রিটা
REWARD	রিয়ার্ড
REXAM	রেক্সাম
REYKJAVIK	রেয়িকজাভিক
REZINA	রেজিনা
RHENIUM	রিনিয়াম
RHIJNAUWEN	রিজনাউওতেন
RHINE	রাইন
RHODE	রোড
RHODES	রোডস
RHODIUM	রোডিয়াম
RHODOPE	রোডোপ
RHON	রোন
RHONE	রোন
RHY	রাই
RIALTO	রায়ালটো
RICASOLI	রিকাসোয়েল
RICE	রাইস
RICHARD	রিচার্ড
RICHARDS	রিচার্ড
RICHARDSON	রিচার্ডসন
RICHELIEU	রিচেলিউ
RICHIE	রিচি
RICHMOND	রিচমন্ড
RICHTERSVELD	রিচটারসভেল্ড
RICK	রিক
RICKSONA	রিকসোনা
RICKY	রিকি
RICOH	রিকো
RIDDLE	রিডেল
RIDGE	রিজ
RIDLEY	রিডলে
RIFAI	রিফাই
RIFFA	রিফফা
RIGA	রিগা
RIGG	রিগ
RIGHT	রাইট
RIGOLET	রিগোলেট
RIJAK	রিজাক
RIJAUL	রিজাউল
RIJAULHAK	রিজাউলহক
RIK	রিক
RIKTARANI	রিক্তারানী
RIM	রিম
RIMA	রীমা
RIMJHIM	রিমঝিম
RIMPA	রিম্পা
RINA	রিনা
RINABEGAM	রিনাবেগম
RINADEBI	রিনাদেবী
RINARANI	রীনারাণী
RINDEL	রিন্ডলে
RINELLA	রিনেল্লা
RINGGIT	রিংগিট
RINGHE	রিঙ্ঘে
RINGO	রিংগো
RINI	রিনি
RINKE	রিঙ্কে
RINKI	রিঙ্কি
RINKU	রিঙ্কু
RINKUBALA	রিঙ্কুবালা
RINKUDEVI	রিঙ্কুদেবী
RINO	রিনো
RINTU	রিণ্টু
RINU	রিনু
RIO	রিও
RIPAN	রিপন
RIPPER	রিপার
RIPU	রিপু
RISHI	ঋষি
RISHIKANTA	ঋষিকান্ত
RISHIKESH	হৃষিকেশ
RISING	রাইজিং
RITA	রীতা
RITABALA	রিতাবালা
RITAN	রিটন
RITARANI	রিতারানী
RITCHIE	রিচ
RITESH	রিতেশ
RITESHKUMAR	রীতেশকুমার
RITHA	রিথা
RITIKA	রিতিকা
RITU	ঋতু
RITUPARNA	ঋতুপর্না
RIVER	রিভার
